industry_index,industry_id,industry_name,comparability,l1_q2_2025_to_q2_2026,within_quarter_l1_envelope,year_over_year_to_within_quarter_ratio,year_over_year_exceeds_within_quarter_envelope,minimum_kish_weight_dispersion_effective_n,maximum_leave_one_month_out_l1,tops_match_across_quarters
1,agriculture-forestry-fishing-and-hunting,"Agriculture, Forestry, Fishing, and Hunting",excluded,0.05879336993775047,0.1908725417559737,0.30802424171055726,False,1198.9203926002735,0.051617101771200206,True
2,mining-quarrying-and-oil-and-gas-extraction,"Mining, Quarrying, and Oil and Gas Extraction",primary,0.34073230429699825,0.3138446214276028,1.0856719568654385,True,374.18687580091887,0.09624552461216886,True
3,construction,Construction,primary,0.06406050651984178,0.05114082921539645,1.2526294059494,True,6445.8655197280905,0.015127871474756645,True
4,manufacturing,Manufacturing,primary,0.049691531479320414,0.07816933731451074,0.6356908371806814,False,8172.542703798986,0.022493611945825564,True
5,wholesale-trade,Wholesale Trade,primary,0.13478198002963565,0.15843795886359427,0.8506924792288885,False,1610.3945968363273,0.045126124955857876,True
6,retail-trade,Retail Trade,primary,0.05933515652692245,0.05422197447703861,1.0943009194925044,True,8294.194086227115,0.01480325263386973,True
7,transportation-and-warehousing,Transportation and Warehousing,primary,0.08995171326043987,0.06759023496666207,1.3308388897420949,True,4336.674078999504,0.019717324644963126,True
8,utilities,Utilities,primary,0.15420900167475454,0.2268440449724102,0.6798018510625224,False,907.6522804912561,0.07349444291533794,True
9,information,Information,primary,0.12394952803410196,0.14910787798219455,0.83127417351418,False,1481.2452058158556,0.04557251077659504,False
10,finance-and-insurance,Finance and Insurance,primary,0.08960026006702666,0.09164452602174879,0.9776935290795548,False,4241.852454502261,0.025960041129277755,True
11,real-estate-and-rental-and-leasing,Real Estate and Rental and Leasing,primary,0.11375372425865278,0.12030030536240312,0.9455813425907038,False,1653.2000172793462,0.0356470136491595,True
12,professional-scientific-and-technical-services,"Professional, Scientific, and Technical Services",primary,0.06934457533088315,0.06491549486053776,1.068228401860922,True,7743.05745494127,0.019651802981286107,True
13,management-of-companies-and-enterprises,Management of Companies and Enterprises,primary,0.6077589403442754,0.4690574043432125,1.2957026895146804,True,60.39158432205465,0.14218063065667338,True
14,administrative-and-support-and-waste-management-services,Administrative and Support and Waste Management Services,primary,0.06816396622852862,0.09115865124595454,0.7477509298005725,False,3768.1362519591135,0.029770097739432337,True
15,educational-services,Educational Services,primary,0.04225940297696889,0.058732635255309903,0.71952165594593,False,7697.186252822272,0.017091424965664362,True
16,health-care-and-social-assistance,Health Care and Social Assistance,primary,0.03795513173676655,0.0630912918948107,0.6015906569173991,False,12106.131661471998,0.017662850260485294,True
17,arts-entertainment-and-recreation,"Arts, Entertainment, and Recreation",primary,0.17381408231326254,0.15019920015013863,1.1572237544508797,True,1594.4581009893805,0.042538162570763385,False
18,accommodation-and-food-services,Accommodation and Food Services,primary,0.029473692637022625,0.07618771999738068,0.3868562103976327,False,5033.126059806951,0.02291969843872312,True
19,other-services-except-public-administration,"Other Services, Except Public Administration",limited,0.07787989047683821,0.09709371045686993,0.8021105601009377,False,3846.644334927734,0.02783262205431299,True
20,public-administration,Public Administration,excluded,0.09468465124607767,0.13603591666671863,0.6960268550110222,False,4205.187372215435,0.03608590902847846,True
