period,industry_index,industry_id,industry_name,comparability,person_month_count,weighted_worker_population,kish_weight_dispersion_effective_n,minimum_monthly_person_count,minimum_monthly_kish_weight_dispersion_effective_n,maximum_pairwise_month_l1,maximum_monthly_l1_to_quarter,maximum_leave_one_month_out_l1_to_quarter,quarter_top_occupation,all_monthly_tops_match_quarter
2025-Q2,1,agriculture-forestry-fishing-and-hunting,"Agriculture, Forestry, Fishing, and Hunting",excluded,1760,1743155.3055666666,1198.9203926002735,582,393.0658711168092,0.1908725417559737,0.10145528849945086,0.051617101771200206,farming-fishing-and-forestry-occupations,True
2025-Q2,2,mining-quarrying-and-oil-and-gas-extraction,"Mining, Quarrying, and Oil and Gas Extraction",primary,657,501589.0462666666,375.3141939668645,212,124.67388823817306,0.23434088521841145,0.14957173848045385,0.07097920537308554,construction-and-extraction-occupations,True
2025-Q2,3,construction,Construction,primary,9132,11517446.5056,7022.897940134758,3029,2304.452645162606,0.05114082921539645,0.02977120473602516,0.015127871474756645,construction-and-extraction-occupations,True
2025-Q2,4,manufacturing,Manufacturing,primary,11239,14163394.303266667,8916.943490228947,3672,2906.325364097698,0.07816933731451074,0.043786042274335156,0.022493611945825564,production-occupations,True
2025-Q2,5,wholesale-trade,Wholesale Trade,primary,2243,2866425.052333333,1728.9944022114944,732,561.0911654240888,0.14841156106171022,0.08430580055465903,0.04331714359931562,sales-and-related-occupations,True
2025-Q2,6,retail-trade,Retail Trade,primary,12065,15082083.679366665,9127.765110706217,3995,3032.664798959739,0.04151169310975718,0.025409457450876097,0.012666128284590027,sales-and-related-occupations,True
2025-Q2,7,transportation-and-warehousing,Transportation and Warehousing,primary,6073,8047935.949966666,4613.337917084378,2022,1533.9010289249923,0.05481555244896115,0.029188118286986895,0.01441363761324013,transportation-and-material-moving-occupations,True
2025-Q2,8,utilities,Utilities,primary,1337,1564677.4039333332,1002.005984951478,431,325.70422642415036,0.1896852842992886,0.12143584441298647,0.06095092425837385,management-occupations,False
2025-Q2,9,information,Information,primary,1990,2600891.7447666666,1534.9440441552792,654,496.5941732497274,0.14910787798219455,0.08997616548142998,0.04557251077659504,management-occupations,False
2025-Q2,10,finance-and-insurance,Finance and Insurance,primary,5911,7420548.213233333,4548.07584624854,1934,1489.015235229188,0.061193635915156495,0.03183021738903721,0.016300413567258636,business-and-financial-operations-occupations,True
