industry_index,industry_id,industry_name,comparability,supported,l1_distance,cosine_similarity,spearman_rank_correlation,top_occupation_agreement,cps_2025_top_occupation,cps_2026_top_occupation
1,agriculture-forestry-fishing-and-hunting,"Agriculture, Forestry, Fishing, and Hunting",excluded,True,0.05879336993775047,0.9995484977564671,0.9570621468926553,True,farming-fishing-and-forestry-occupations,farming-fishing-and-forestry-occupations
2,mining-quarrying-and-oil-and-gas-extraction,"Mining, Quarrying, and Oil and Gas Extraction",primary,True,0.34073230429699825,0.9492360271049063,0.9489718868392902,True,construction-and-extraction-occupations,construction-and-extraction-occupations
3,construction,Construction,primary,True,0.06406050651984178,0.9995989142683889,0.9500141581883365,True,construction-and-extraction-occupations,construction-and-extraction-occupations
4,manufacturing,Manufacturing,primary,True,0.049691531479320414,0.999395813173098,0.9932241671372106,True,production-occupations,production-occupations
5,wholesale-trade,Wholesale Trade,primary,True,0.13478198002963565,0.993530574628108,0.9607344632768362,True,sales-and-related-occupations,sales-and-related-occupations
6,retail-trade,Retail Trade,primary,True,0.05933515652692245,0.9989558639582421,0.9932241671372106,True,sales-and-related-occupations,sales-and-related-occupations
7,transportation-and-warehousing,Transportation and Warehousing,primary,True,0.08995171326043987,0.9972584734339354,0.9759955204217868,True,transportation-and-material-moving-occupations,transportation-and-material-moving-occupations
8,utilities,Utilities,primary,True,0.15420900167475454,0.9827655660984543,0.9674869185466805,True,management-occupations,management-occupations
9,information,Information,primary,True,0.12394952803410196,0.9900648441997961,0.9629943502824859,False,management-occupations,arts-design-entertainment-sports-and-media-occupations
10,finance-and-insurance,Finance and Insurance,primary,True,0.08960026006702666,0.9964230536568957,0.9299830604178431,True,business-and-financial-operations-occupations,business-and-financial-operations-occupations
11,real-estate-and-rental-and-leasing,Real Estate and Rental and Leasing,primary,True,0.11375372425865278,0.9970707651505553,0.9299830604178431,True,sales-and-related-occupations,sales-and-related-occupations
12,professional-scientific-and-technical-services,"Professional, Scientific, and Technical Services",primary,True,0.06934457533088315,0.9979121109109361,0.9830604178430266,True,computer-and-mathematical-occupations,computer-and-mathematical-occupations
13,management-of-companies-and-enterprises,Management of Companies and Enterprises,primary,True,0.6077589403442754,0.8169482286420356,0.7292829473023195,True,management-occupations,management-occupations
14,administrative-and-support-and-waste-management-services,Administrative and Support and Waste Management Services,primary,True,0.06816396622852862,0.9992461332318799,0.9412761151891587,True,building-and-grounds-cleaning-and-maintenance-occupations,building-and-grounds-cleaning-and-maintenance-occupations
15,educational-services,Educational Services,primary,True,0.04225940297696889,0.9998516787245025,0.9796725014116319,True,educational-instruction-and-library-occupations,educational-instruction-and-library-occupations
16,health-care-and-social-assistance,Health Care and Social Assistance,primary,True,0.03795513173676655,0.9995929050534639,0.9954827780914738,True,healthcare-practitioners-and-technical-occupations,healthcare-practitioners-and-technical-occupations
17,arts-entertainment-and-recreation,"Arts, Entertainment, and Recreation",primary,True,0.17381408231326254,0.9888664259774896,0.9491812535290797,False,arts-design-entertainment-sports-and-media-occupations,personal-care-and-service-occupations
18,accommodation-and-food-services,Accommodation and Food Services,primary,True,0.029473692637022625,0.9999428651869834,0.9200791103976219,True,food-preparation-and-serving-related-occupations,food-preparation-and-serving-related-occupations
19,other-services-except-public-administration,"Other Services, Except Public Administration",limited,True,0.07787989047683821,0.997675481008033,0.9920948616600791,True,personal-care-and-service-occupations,personal-care-and-service-occupations
20,public-administration,Public Administration,excluded,True,0.09468465124607767,0.9959607840715179,0.9864483342744212,True,protective-service-occupations,protective-service-occupations
