industry_index,industry_id,composition_basis_evidence_tier,period,metric_id,weight_basis,coverage,suppressed,observed,predicted_from_occupation_mix,occupation_adjusted_industry_context_residual
1,agriculture-forestry-fishing-and-hunting,excluded,2025-Q2,adoption_work,CPS worker share,1.0,False,37.0313108501,46.9017160657989,-9.870405215698902
2,mining-quarrying-and-oil-and-gas-extraction,primary_stable,2025-Q2,adoption_work,CPS worker share,1.0,False,54.9223558799,35.623716023821636,19.298639856078367
3,construction,primary_stable,2025-Q2,adoption_work,CPS worker share,1.0,False,37.3614483696,35.91733072749236,1.444117642107635
4,manufacturing,primary_stable,2025-Q2,adoption_work,CPS worker share,1.0,False,35.0128845868,38.263060180563585,-3.2501755937635863
5,wholesale-trade,primary_stable,2025-Q2,adoption_work,CPS worker share,1.0,False,41.633456879,33.05929711518853,8.574159763811473
6,retail-trade,primary_stable,2025-Q2,adoption_work,CPS worker share,1.0,False,31.0596763863,29.75418278455479,1.3054936017452121
7,transportation-and-warehousing,primary_stable,2025-Q2,adoption_work,CPS worker share,1.0,False,20.8097327979,27.156180529025434,-6.3464477311254335
8,utilities,primary_stable,2025-Q2,adoption_work,CPS worker share,1.0,False,51.1037199779,39.22565814680669,11.878061831093312
9,information,primary_stable,2025-Q2,adoption_work,CPS worker share,1.0,False,59.3019751766,45.437013855293934,13.864961321306069
10,finance-and-insurance,primary_stable,2025-Q2,adoption_work,CPS worker share,1.0,False,45.4443301367,41.4277142881624,4.0166158485376044
11,real-estate-and-rental-and-leasing,primary_stable,2025-Q2,adoption_work,CPS worker share,1.0,False,42.1723849562,35.721971455723875,6.450413500476124
12,professional-scientific-and-technical-services,primary_stable,2025-Q2,adoption_work,CPS worker share,1.0,False,52.4063018677,48.43371994053426,3.9725819271657414
13,management-of-companies-and-enterprises,sensitivity_unstable,2025-Q2,adoption_work,CPS worker share,1.0,False,49.3573230881,46.59613480626524,2.7611882818347624
14,administrative-and-support-and-waste-management-services,primary_stable,2025-Q2,adoption_work,CPS worker share,1.0,False,27.5099585876,23.18102383744626,4.3289347501537385
15,educational-services,primary_stable,2025-Q2,adoption_work,CPS worker share,1.0,False,37.0550913567,40.045592408630505,-2.990501051930508
16,health-care-and-social-assistance,primary_stable,2025-Q2,adoption_work,CPS worker share,1.0,False,26.9159098341,31.060219058134223,-4.144309224034224
17,arts-entertainment-and-recreation,primary_stable,2025-Q2,adoption_work,CPS worker share,1.0,False,34.3794733773,34.611381090731136,-0.23190771343113425
18,accommodation-and-food-services,primary_stable,2025-Q2,adoption_work,CPS worker share,1.0,False,22.8353679461,29.286195422929875,-6.4508274768298755
19,other-services-except-public-administration,limited,2025-Q2,adoption_work,CPS worker share,1.0,False,25.6566212512,30.288663947614413,-4.632042696414413
20,public-administration,excluded,2025-Q2,adoption_work,CPS worker share,1.0,False,10.9601933249,33.76808240968778,-22.807889084787778
1,agriculture-forestry-fishing-and-hunting,excluded,2025-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,2.7304308952,9.13329705661308,-6.40286616141308
2,mining-quarrying-and-oil-and-gas-extraction,primary_stable,2025-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,3.1507048801,4.311726972403119,-1.161022092303119
3,construction,primary_stable,2025-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,5.2442004077,4.454230244439795,0.7899701632602047
4,manufacturing,primary_stable,2025-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,4.4514181931,4.678930323417085,-0.22751213031708506
5,wholesale-trade,primary_stable,2025-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,6.2152046031,5.015573452350028,1.1996311507499717
6,retail-trade,primary_stable,2025-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,1.9409145187,4.598923884374426,-2.658009365674426
7,transportation-and-warehousing,primary_stable,2025-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,4.8005210135,3.6521471932023446,1.1483738202976554
8,utilities,primary_stable,2025-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,1.7533552569,5.212338738607082,-3.458983481707082
9,information,primary_stable,2025-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,10.4928282589,7.4948313536941455,2.997996905205854
10,finance-and-insurance,primary_stable,2025-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,7.0342204541,6.705173171363248,0.32904728273675143
11,real-estate-and-rental-and-leasing,primary_stable,2025-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,3.3341268998,5.721373560294215,-2.387246660494215
12,professional-scientific-and-technical-services,primary_stable,2025-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,10.9699295898,7.735527572097931,3.2344020177020685
13,management-of-companies-and-enterprises,sensitivity_unstable,2025-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,6.4699659985,7.701914398701128,-1.2319484002011274
14,administrative-and-support-and-waste-management-services,primary_stable,2025-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,2.6626646754,2.891153817962487,-0.2284891425624873
