entity_type,period,n,r_A_H,spearman_A_H,r2_H_A,r2_S_A,r2_S_H,r2_S_A_H,increment_H_given_A,increment_A_given_H,loo_H_beats_A,loo_A_beats_H,loo_H_minus_A_min,loo_H_minus_A_max
industry,2024-Q4,20,0.603539074385413,0.5969924812030075,0.3642594143100011,0.49656709778988123,0.35621114579623514,0.5428506750491573,0.046283577259276065,0.18663952925292215,1,19,-0.4435537918962128,0.13527115299874626
industry,2025-Q1,20,0.47277432203829817,0.3458646616541353,0.22351555957877248,0.4263408157789975,0.5422772407483646,0.6619223772297207,0.23558156145072318,0.1196451364813561,18,2,-0.15991082147778057,0.2552387804303917
industry,2025-Q2,20,0.5565655018888821,0.45112781954887216,0.3097651578928232,0.3533873678308639,0.6124160425997819,0.6490023523478925,0.2956149845170286,0.03658630974811061,20,0,0.09944008137119054,0.3653285943016051
industry,2025-Q3,20,0.7943746114243659,0.8030075187969925,0.6310310232756123,0.7667258664398973,0.506142869905425,0.7674075913877987,0.0006817249479014187,0.2612647214823737,0,20,-0.3067568459752626,-0.05718545816921594
industry,2025-Q4,20,0.6405560495832409,0.6285714285714286,0.41031205265768733,0.6355259517671552,0.7933598647499723,0.8804746769705671,0.24494872520341193,0.0871148122205948,20,0,0.06253013372679006,0.20196262055280334
industry,2026-Q1,20,0.6758549145367734,0.5819548872180451,0.45677986550350924,0.7955268909175081,0.6627626085334091,0.8777112158183078,0.08218432490079974,0.21494860728489873,0,20,-0.21789614593993367,-0.0851108649635619
industry,2026-Q2,20,0.7563497773390889,0.675187969924812,0.5720649856808894,0.6743620153784156,0.7293508551266675,0.8011260836395044,0.12676406826108888,0.07177522851283691,18,2,-0.05080856763740238,0.13496772069351193
occupation,2024-Q4,22,0.7977141417128706,0.8294748729531338,0.6363478518887018,0.8577304618766488,0.5736778480942872,0.8586840982365023,0.0009536363598534603,0.28500625014221503,0,22,-0.3445567232275167,-0.19274172291323233
occupation,2025-Q1,22,0.7619364314279637,0.6996047430830039,0.5805471255371801,0.8173833391929973,0.5919799283313238,0.8328484752739378,0.015465136080940467,0.24086854694261395,0,22,-0.2825427964665187,-0.10988029948229416
occupation,2025-Q2,22,0.8396737454602788,0.8091473743647657,0.7050519988152931,0.856618830785144,0.6238590390108067,0.8571655280172222,0.0005466972320782304,0.23330648900641549,0,22,-0.26925237822868475,-0.17029882175352673
occupation,2025-Q3,22,0.8131498930737808,0.8136645962732919,0.6612127486059012,0.7065891718483449,0.36592301409914346,0.7248287754466762,0.018239603598331322,0.35890576134753277,0,22,-0.38373130457651206,-0.20450038687222916
occupation,2025-Q4,22,0.8978810470659447,0.9062676453980801,0.8061903746802372,0.9234650602978389,0.8615117823736144,0.945492809188575,0.02202774889073611,0.08398102681496067,0,22,-0.08430629218971508,-0.026745712024502932
occupation,2026-Q1,22,0.7109141859337239,0.7188029361942405,0.5053989797618094,0.7660621972476379,0.6824924245862661,0.8501231623013251,0.08406096505368721,0.167630737715059,0,22,-0.21341258183979683,-0.03501845309139284
occupation,2026-Q2,22,0.885849945043624,0.885940146809712,0.7847301251337917,0.7930122609654313,0.66296976325579,0.7960019859644369,0.0029897249990056274,0.1330322227086469,0,22,-0.23379881909544942,-0.06244954923380941
